id,time
"321163","4"
"77158","4"
"304222","3"
"178531","3"
"343829","3"
"102355","3"
"326651","2"
"177344","2"
"156249","2"
"53253","2"
"107210","2"
"267533","2"
"105654","2"
"190342","2"
"160045","2"
"133668","2"
"231919","2"
"314399","2"
"189708","2"
"54167","2"
"82397","2"
"248585","2"
"377569","1"
"158357","1"
"23240","1"
"196521","1"
"359853","1"
"368586","1"
"194293","1"
"191182","1"
"84481","1"
"112661","1"
"124810","1"
"225592","1"
"98417","1"
"176693","1"
"192630","1"
"39501","1"
"220227","1"
"89104","1"
"139490","1"
"197138","1"
"181059","1"
"109827","1"
"60271","1"
"79045","1"
"63161","1"
"248771","1"
"192243","1"
"124343","1"
"49989","1"
"150767","1"
"195985","1"
"180922","1"
"122693","1"
"147049","1"
"291080","1"
"146632","1"
"39942","1"
"172812","1"
"24757","1"
"135593","1"
"302278","1"
"75036","1"
"244659","1"
"175616","1"
"114025","1"
"283605","1"
"205108","1"
"38822","1"
"26628","1"
"241595","1"
"193599","1"
"236727","1"
"312529","1"
"106761","1"
"173439","1"
"113637","1"
"66326","1"
"78473","1"
"150245","1"
"83474","1"
"259484","1"
"222545","1"
"22170","1"
"136254","1"
"117558","1"
"147213","1"
"355238","1"
"147464","1"
"129312","1"
"173426","1"
"303181","1"
"219664","1"
"339855","1"
"79235","1"
"110715","1"
"238643","1"
"157225","1"
"51033","1"
"180768","1"
"173344","1"
"179459","1"
"187990","1"
"356264","1"
"264808","1"
"250628","1"
"89127","1"
"218905","1"
"24424","1"
"68255","1"
"182739","1"
"85825","1"
"255428","1"
"35142","1"
"55784","1"
"145211","1"
"292207","1"
"63138","1"
"166225","1"
"194275","1"
"274210","1"
"196285","1"
"162758","1"
"38333","1"
"26734","1"
"339693","1"
"227519","1"
"148604","1"
"31994","1"
"66950","1"
"318507","1"
"216094","1"
"201309","1"
"294049","1"
"241468","1"
"181544","1"
"128123","1"
"326062","1"
"129337","1"
"148911","1"
"202756","1"
"259176","1"
"233826","1"
"43961","1"
"110904","1"
"98726","1"
"250021","1"
"63758","1"
"192448","1"
"206590","1"
"291723","1"
"215221","1"
"120192","1"
"174812","1"
"88810","1"
"238217","1"
"48797","1"
"16261","1"
"277834","1"
"179178","1"
"170692","1"
"113262","1"
"255365","1"
"322460","1"
"86591","1"
"47824","1"
"240267","1"
"302287","1"
"158821","1"
"164619","1"
"244148","1"
"279504","1"
"72467","1"
"213023","1"
"154141","1"
"145367","1"
"206616","1"
"151057","1"
"316391","1"
"30483","1"
"71837","1"
"337975","1"
"263835","1"
"173908","1"
"316047","1"
"243629","1"
"306096","1"
"252861","1"
"229926","1"
"119503","1"
"343054","1"
"168822","1"
"143476","1"
"208838","1"
"93469","1"
"105107","1"
"37749","1"
"77516","1"
"143976","1"
"79783","1"
"24268","1"
"176920","1"
"129520","1"
"311583","1"
"137404","1"
"267896","1"
"154241","1"
"318433","1"
"130147","1"
"307674","1"
"43933","1"
"121127","1"
"205318","1"
"252920","1"
"269802","1"
"314346","1"
"192254","1"
"145169","1"
"121904","1"
"83768","1"
"202167","1"
"239607","1"
"332591","1"
"18255","1"
"245773","1"
"198102","1"
"166328","1"
"31688","1"
"136451","1"
"362382","1"
"119213","1"
"79106","1"
"173973","1"
"23042","1"
"281452","1"
"96915","1"
"299433","1"
"48125","1"
"190208","1"
"171360","1"
"207648","1"
"106264","1"
"136821","1"
"246195","1"
"14327","1"
"93363","1"
"236603","1"
"107672","1"
"14437","1"
"331727","1"
"177499","1"
"352713","1"
"151062","1"
"160596","1"
"75017","1"
"158949","1"
"186929","1"
"122998","1"
"120259","1"
"16826","1"
"40612","1"
"95436","1"
"96103","1"
"54533","1"
"26294","1"
"363288","1"
"174643","1"
"102813","1"
"296135","1"
"146879","1"
"163380","1"
"287980","1"
"173582","1"
"87931","1"
"238465","1"
"75907","1"
"89442","1"
"133856","1"
"156197","1"
"208154","1"
"182726","1"
"319385","1"
"119150","1"
"211999","1"
"249904","1"
"131062","1"
"37235","1"
"215989","1"
"84152","1"
"181565","1"
"229460","1"
"240557","1"
"145183","1"
"97369","1"
"234915","1"
"324060","1"
"163522","1"
"174835","1"
"157860","1"
"157481","1"
"110813","1"
"34569","1"
"84320","1"
"237907","1"
"129611","1"
"140964","1"
"256562","1"
"264689","1"
"280010","1"
"259","1"
"194593","1"
"99580","1"
"135080","1"
"200062","1"
"23438","1"
"163289","1"
"256541","1"
"89452","1"
"145791","1"
"240044","1"
"164978","1"
"106911","1"
"12723","1"
"170673","1"
"73513","1"
"290904","1"
"209974","1"
"198885","1"
"22259","1"
"29112","1"
"140909","1"
"184532","1"
"219547","1"
"118436","1"
"174433","1"
"67240","1"
"25056","1"
"63513","1"
"94821","1"
"350473","1"
"106626","1"
"295768","1"
"108328","1"
"323929","1"
"138165","1"
"95439","1"
"197282","1"
"71473","1"
"141263","1"
"218875","1"
"140624","1"
"330228","1"
"161808","1"
"320625","1"
"370271","1"
"166670","1"
"13681","1"
"287511","1"
"167172","1"
"155882","1"
"261925","1"
"101696","1"
"44029","1"
"152528","1"
"234258","1"
"318690","1"
"151145","1"
"210943","1"
"179311","1"
"172415","1"
"64406","1"
"215188","1"
"127799","1"
"259848","1"
"146531","1"
"60614","1"
"204336","1"
"113840","1"
"201176","1"
"192079","1"
"104416","1"
"159577","1"
"205377","1"
"127952","1"
"131497","1"
"204218","1"
"314557","1"
"20336","1"
"162900","1"
"181346","1"
"181871","1"
"159726","1"
"78997","1"
"123530","1"
"232344","1"
"23956","1"
"236313","1"
"233712","1"
"264487","1"
"122906","1"
"186373","1"
"238056","1"
"333864","1"
"198695","1"
"197723","1"
"152283","1"
"131276","1"
