id,coupon,time,name
"110175","2500","2017-07-06 19:07","柳州螺蛳粉"
"110216","1500","2017-07-06 23:04","六鳌红蜜薯"
"110598","1500","2017-07-06 19:28","舟山带鱼"
"111759","2500","2017-07-07 09:53","丹东黄蚬"
"114905","2500","2017-07-06 23:13","华盛顿车厘子"
"116612","2500","2017-07-06 19:04","六鳌红蜜薯"
"118356","1500","2017-07-06 19:43","刘老汉薄皮吊瓜"
"118884","2500","2017-07-06 22:33","手工清真牛肉酱"
"119141","1500","2017-07-06 19:33","麻辣小龙虾"
"119142","0","2017-07-06 20:45","泰国沙竹(山竹)"
"120279","1500","2017-07-06 22:07","海南高山青柠檬"
"120586","2500","2017-07-06 20:50","刘老汉薄皮吊瓜"
"120764","1500","2017-07-06 19:27","麻辣小龙虾"
"122801","1500","2017-07-06 21:16","蔗汁红糖"
"122972","1500","2017-07-06 19:27","丹东黄蚬"
"123537","2500","2017-07-07 05:57","巨无霸金奇异果"
"123565","2500","2017-07-06 19:58","蔗汁红糖"
"123639","1500","2017-07-06 19:32","泰国椰青"
"126307","1500","2017-07-06 19:46","海南高山青柠檬"
"130489","2500","2017-07-06 19:22","海南高山青柠檬"
"131248","1500","2017-07-06 21:05","夹心海苔"
"131795","1500","2017-07-06 21:15","刘老汉薄皮吊瓜"
"133507","1500","2017-07-06 20:11","蔗汁红糖"
"135377","2500","2017-07-06 20:19","南非红西柚"
"135882","2500","2017-07-06 18:59","五彩野鸡蛋"
"136118","2500","2017-07-06 19:12","每日坚果"
"136183","2500","2017-07-06 19:14","六鳌红蜜薯"
"140036","1500","2017-07-06 21:19","蔗汁红糖"
"141273","2500","2017-07-06 19:33","泰国椰青"
"141918","1500","2017-07-06 20:10","泰国龙眼"
"143027","2500","2017-07-07 09:24","厄瓜多尔白虾"
"145617","2500","2017-07-06 19:01","每日坚果"
"149551","2500","2017-07-06 19:22","泰国椰青"
"149871","2500","2017-07-06 19:01","泰国椰青"
"152123","2500","2017-07-06 22:02","每日坚果"
"152830","1500","2017-07-06 19:31","巨无霸金奇异果"
"156043","2500","2017-07-07 01:07","烤制香脆大花生"
"157253","2500","2017-07-06 19:12","丹东黄蚬"
"160820","1500","2017-07-07 07:38","麻辣小龙虾"
"168269","1500","2017-07-06 22:08","泰国椰青"
"168428","1500","2017-07-06 19:42","海南高山青柠檬"
