id,first,if_zxs,order,normal_c,first_name,normal_name,first_c
"13820","2017-06-09","0","2017-06-09","0","生态鲜腐竹","每日坚果","0"
"13820","2017-06-09","0","2017-06-09","0","生态鲜腐竹","丹东黄蚬","0"
"13820","2017-06-09","0","2017-06-15","0","生态鲜腐竹","丹东黄蚬","0"
"13917","2017-06-18","1","2017-06-23","1","红心火龙果","法国猪肋排","1"
"13929","2017-06-13","0",NULL,NULL,"多功能清洁膏",NULL,"0"
"14486","2017-06-10","0",NULL,NULL,"泰国沙竹(山竹)",NULL,"0"
"14521","2017-06-08","0","2017-06-24","0","裸酸奶","乐纯希腊酸奶","0"
"14521","2017-06-08","0","2017-06-13","0","裸酸奶","丹东黄蚬","0"
"14521","2017-06-08","0","2017-06-24","0","裸酸奶","泰国椰青","0"
"14521","2017-06-08","0","2017-06-28","0","裸酸奶","安格斯牛肉","0"
"14521","2017-06-08","0","2017-06-28","1","裸酸奶","重庆小面","0"
"14521","2017-06-08","0","2017-06-30","0","裸酸奶","海阳网纹蜜瓜","0"
"14521","2017-06-08","0","2017-06-21","0","裸酸奶","裸酸奶","0"
"14521","2017-06-08","0","2017-07-04","0","裸酸奶","裸酸奶","0"
"14521","2017-06-08","0","2017-06-13","0","裸酸奶","《海的女儿·黎明钟声》","0"
"14521","2017-06-08","0","2017-06-12","0","裸酸奶","新西兰红玫瑰苹果","0"
"14521","2017-06-08","0","2017-06-20","0","裸酸奶","崂山蜜杏","0"
"14521","2017-06-08","0","2017-06-20","0","裸酸奶","德国皮具护理膏","0"
"14521","2017-06-08","0","2017-06-25","0","裸酸奶","黄蜜桃","0"
"14521","2017-06-08","0","2017-06-28","1","裸酸奶","赤焰紫桃","0"
"14754","2017-06-11","0",NULL,NULL,"裸酸奶",NULL,"0"
"14866","2017-06-19","0",NULL,NULL,"蓝莓",NULL,"0"
"15248","2017-06-11","0","2017-07-05","0","刘老汉薄皮吊瓜","五彩野鸡蛋","0"
"15248","2017-06-11","0","2017-07-04","0","刘老汉薄皮吊瓜","湖南米粉","0"
"15248","2017-06-11","0","2017-07-05","0","刘老汉薄皮吊瓜","烤制香脆大花生","0"
"15248","2017-06-11","0","2017-07-04","0","刘老汉薄皮吊瓜","裸酸奶","0"
"15481","2017-06-14","1",NULL,NULL,"蓝莓",NULL,"0"
"15765","2017-06-27","0","2017-06-29","1","净水器替换滤芯","生态鲜腐竹","1"
"15866","2017-06-17","0",NULL,NULL,"蓝莓",NULL,"1"
"16047","2017-06-09","0",NULL,NULL,"生态鲜腐竹",NULL,"0"
"16053","2017-06-17","0",NULL,NULL,"重庆小面",NULL,"0"
"16487","2017-06-05","0","2017-06-13","0","巨无霸金奇异果","刘老汉薄皮吊瓜","1"
"16487","2017-06-05","0","2017-06-22","0","巨无霸金奇异果","舟山带鱼","1"
"16487","2017-06-05","0","2017-06-06","1","巨无霸金奇异果","夹心海苔","1"
"16487","2017-06-05","0","2017-06-29","1","巨无霸金奇异果","便携榨汁神器","1"
"16824","2017-06-14","0",NULL,NULL,"麻辣小龙虾",NULL,"0"
"16877","2017-06-30","0",NULL,NULL,"刘老汉薄皮吊瓜",NULL,"0"
"16880","2017-06-28","0",NULL,NULL,"麻辣小龙虾",NULL,"0"
"16892","2017-06-07","0",NULL,NULL,"刘老汉薄皮吊瓜",NULL,"0"
"17103","2017-06-28","0",NULL,NULL,"珍珠小笼包",NULL,"0"
"17337","2017-06-22","0","2017-06-22","1","阿根廷红虾","巨无霸金奇异果","0"
"17349","2017-06-20","0","2017-06-20","0","巨无霸金奇异果","秘鲁牛油果","1"
"17349","2017-06-20","0","2017-06-21","0","巨无霸金奇异果","泰国椰青","1"
"17349","2017-06-20","0","2017-06-28","1","巨无霸金奇异果","赤焰紫桃","1"
