id,merchid,merchname,time
"147798","512","山楂优块","2017-06-14 13:49"
"136455","511","法国猪肋排","2017-06-14 13:49"
"184373","569","裸酸奶","2017-06-14 13:49"
"190279","603","印象人生照相馆","2017-06-14 13:49"
"179408","492","丹东黄蚬","2017-06-14 13:50"
"114337","512","山楂优块","2017-06-14 13:50"
"32143","488","原装进口水果干","2017-06-14 13:50"
"169403","499","秘鲁牛油果","2017-06-14 13:50"
"84828","577","迁西甘栗仁","2017-06-14 13:50"
"171383","561","烤制香脆大花生","2017-06-14 13:51"
"212962","314","巨无霸金奇异果","2017-06-14 13:52"
"155722","446","和田玉枣","2017-06-14 13:52"
"212962","348","每日坚果","2017-06-14 13:53"
"207051","539","风干牛肉干","2017-06-14 13:54"
"50246","348","每日坚果","2017-06-14 13:54"
"236820","514","夹心海苔","2017-06-14 13:55"
"208478","528","生态鲜腐竹","2017-06-14 13:55"
"209079","338","刘老汉薄皮吊瓜","2017-06-14 13:55"
"37461","512","山楂优块","2017-06-14 13:56"
"254213","549","海阳网纹蜜瓜","2017-06-14 13:56"
"300227","326","红心火龙果","2017-06-14 13:59"
"114069","446","和田玉枣","2017-06-14 14:00"
"157738","601","黑糯玉米","2017-06-14 14:00"
"99037","577","迁西甘栗仁","2017-06-14 14:00"
"187904","528","生态鲜腐竹","2017-06-14 14:01"
"183291","531","蓝莓","2017-06-14 14:04"
"145350","326","红心火龙果","2017-06-14 14:04"
"126112","531","蓝莓","2017-06-14 14:04"
"224009","499","秘鲁牛油果","2017-06-14 14:05"
"41032","531","蓝莓","2017-06-14 14:05"
"169344","502","南非红西柚","2017-06-14 14:05"
"19376","531","蓝莓","2017-06-14 14:06"
"170883","528","生态鲜腐竹","2017-06-14 14:06"
"161463","512","山楂优块","2017-06-14 14:07"
"300113","512","山楂优块","2017-06-14 14:07"
"212962","383","福建肉燕","2017-06-14 14:07"
"99037","512","山楂优块","2017-06-14 14:07"
"218884","338","刘老汉薄皮吊瓜","2017-06-14 14:08"
"167341","503","大黄鱼","2017-06-14 14:09"
"103478","531","蓝莓","2017-06-14 14:10"
"231541","492","丹东黄蚬","2017-06-14 14:10"
"59652","573","净水器替换滤芯","2017-06-14 14:10"
"234531","505","泰国椰青","2017-06-14 14:11"
"207228","528","生态鲜腐竹","2017-06-14 14:11"
"104875","338","刘老汉薄皮吊瓜","2017-06-14 14:12"
"33506","512","山楂优块","2017-06-14 14:12"
"296360","595","麻辣小龙虾","2017-06-14 14:12"
"82747","338","刘老汉薄皮吊瓜","2017-06-14 14:13"
"262639","512","山楂优块","2017-06-14 14:13"
"77856","512","山楂优块","2017-06-14 14:14"
"206048","577","迁西甘栗仁","2017-06-14 14:14"
"296360","492","丹东黄蚬","2017-06-14 14:14"
"248070","492","丹东黄蚬","2017-06-14 14:15"
"327060","492","丹东黄蚬","2017-06-14 14:15"
"265840","437","南极银鳕鱼(犬牙鱼)","2017-06-14 14:16"
"184777","438","藜麦","2017-06-14 14:17"
"280732","601","黑糯玉米","2017-06-14 14:17"
"249919","338","刘老汉薄皮吊瓜","2017-06-14 14:18"
"121467","517","珍珠小笼包","2017-06-14 14:19"
"103572","601","黑糯玉米","2017-06-14 14:19"
"279690","499","秘鲁牛油果","2017-06-14 14:19"
"493","338","刘老汉薄皮吊瓜","2017-06-14 14:21"
"215365","338","刘老汉薄皮吊瓜","2017-06-14 14:21"
"273846","531","蓝莓","2017-06-14 14:22"
"71613","338","刘老汉薄皮吊瓜","2017-06-14 14:23"
"148205","338","刘老汉薄皮吊瓜","2017-06-14 14:23"
"241896","505","泰国椰青","2017-06-14 14:25"
"191422","502","南非红西柚","2017-06-14 14:26"
"217622","492","丹东黄蚬","2017-06-14 14:26"
"318480","505","泰国椰青","2017-06-14 14:26"
"192823","514","夹心海苔","2017-06-14 14:27"
"193563","531","蓝莓","2017-06-14 14:27"
"159068","427","柳州螺蛳粉","2017-06-14 14:29"
"266044","492","丹东黄蚬","2017-06-14 14:30"
"283550","528","生态鲜腐竹","2017-06-14 14:30"
