id,first,last,num,userid,total_cnt,promotion_cnt,promotion_amt,regular_cnt,regular_amt
"184967","2017-03-26","2017-05-07","4","184967","4","1","10.0000","3","267.9000"
"184972","2017-04-12","2017-04-12","2","184972","5",NULL,NULL,"5","515.7000"
"184974","2017-03-26","2017-05-05","7","184974","7","2","19.0000","5","347.7000"
"184985","2017-03-27","2017-03-27","1","184985","3",NULL,NULL,"3","237.0000"
"184998","2017-03-26","2017-03-26","1","184998","2",NULL,NULL,"2","118.0000"
"185002","2017-03-27","2017-03-27","1","185002","1",NULL,NULL,"1","138.0000"
"185010","2017-03-26","2017-03-26","1","185010","1","1","6.0000",NULL,NULL
"185027","2017-03-26","2017-03-26","1","185027","1",NULL,NULL,"1","129.0000"
"185030","2017-03-26","2017-03-26","1","185030","2","1","6.0000",NULL,NULL
"185034","2017-03-26","2017-03-26","1","185034","2",NULL,NULL,"2","199.8000"
"185037","2017-03-26","2017-03-28","5","185037","5","1","10.0000","4","350.0000"
"185046","2017-03-29","2017-04-14","10","185046","14","1","13.0000","13","1040.3000"
"185048","2017-04-29","2017-04-29","1","185048","2","1","13.0000",NULL,NULL
"185061","2017-03-29","2017-03-29","1","185061","1",NULL,NULL,"1","99.9000"
"185083","2017-03-30","2017-03-30","1","185083","1",NULL,NULL,"1","59.0000"
"185091","2017-04-12","2017-05-07","2","185091","3",NULL,NULL,"3","232.1000"
"185095","2017-03-27","2017-03-27","1","185095","2",NULL,NULL,"1","69.0000"
"185106","2017-04-20","2017-04-20","1","185106","3","1","13.0000",NULL,NULL
"185107","2017-03-26","2017-03-26","1","185107","1","1","7.0000",NULL,NULL
"185116","2017-03-30","2017-04-19","3","185116","3",NULL,NULL,"3","187.9000"
"185117","2017-03-29","2017-05-09","16","185117","19",NULL,NULL,"19","1704.3000"
"185118","2017-03-30","2017-04-19","4","185118","4",NULL,NULL,"4","385.0000"
"185124","2017-04-01","2017-04-01","1","185124","1",NULL,NULL,"1","79.9000"
"185128","2017-03-26","2017-03-26","1","185128","1","1","6.0000",NULL,NULL
"185134","2017-03-26","2017-04-21","3","185134","3","2","13.0000","1","74.8000"
"185139","2017-03-26","2017-03-29","3","185139","3",NULL,NULL,"3","217.9000"
"185142","2017-03-26","2017-03-26","1","185142","1",NULL,NULL,"1","59.0000"
"185152","2017-03-26","2017-05-05","5","185152","5",NULL,NULL,"5","349.7000"
"185156","2017-03-27","2017-03-27","1","185156","2",NULL,NULL,"2","199.8000"
"185157","2017-03-30","2017-03-30","1","185157","1",NULL,NULL,"1","99.9000"
"185168","2017-03-26","2017-03-26","1","185168","1",NULL,NULL,"1","59.0000"
"185182","2017-03-26","2017-03-26","1","185182","1",NULL,NULL,"1","59.0000"
"185185","2017-03-26","2017-03-26","1","185185","1",NULL,NULL,"1","99.9000"
"185203","2017-03-26","2017-03-26","1","185203","2",NULL,NULL,"2","199.8000"
"185212","2017-03-30","2017-04-18","4","185212","4",NULL,NULL,"4","308.7000"
"185213","2017-03-26","2017-04-21","5","185213","5","1","25.0000","4","254.8000"
"185230","2017-03-28","2017-03-28","1","185230","2",NULL,NULL,"2","197.0000"
"185236","2017-03-26","2017-03-26","2","185236","2","1","6.0000","1","108.0000"
"185238","2017-04-25","2017-04-27","3","185238","5",NULL,NULL,"5","389.5000"
"185239","2017-03-26","2017-03-26","1","185239","1","1","6.0000",NULL,NULL
"185245","2017-03-26","2017-03-26","1","185245","1","1","6.0000",NULL,NULL
"185253","2017-04-06","2017-04-06","1","185253","1",NULL,NULL,"1","48.0000"
"185254","2017-03-26","2017-04-15","4","185254","6","1","10.0000","5","364.8000"
"185255","2017-03-29","2017-04-24","7","185255","8",NULL,NULL,"8","759.5000"
"185262","2017-03-26","2017-03-29","3","185262","3",NULL,NULL,"3","227.8000"
"185278","2017-03-26","2017-04-15","2","185278","2","1","7.0000","1","59.0000"
"185288","2017-03-26","2017-03-26","2","185288","2",NULL,NULL,"2","196.0000"
"185289","2017-03-26","2017-03-26","1","185289","1",NULL,NULL,"1","59.0000"
"185291","2017-03-26","2017-03-26","1","185291","1","1","6.0000",NULL,NULL
"185293","2017-03-27","2017-04-25","2","185293","2",NULL,NULL,"2","246.0000"
"185296","2017-03-26","2017-04-09","4","185296","5","1","6.0000","4","245.9000"
"185305","2017-03-26","2017-03-26","1","185305","1",NULL,NULL,"1","109.0000"
"185310","2017-03-26","2017-03-26","1","185310","1",NULL,NULL,"1","108.0000"
"185311","2017-03-26","2017-04-04","4","185311","4","1","6.0000","3","204.9000"
"185313","2017-05-12","2017-05-12","1","185313","1",NULL,NULL,"1","85.0000"
"185318","2017-04-15","2017-04-15","1","185318","1",NULL,NULL,"1","99.9000"
"185325","2017-03-26","2017-03-26","1","185325","1","1","7.0000",NULL,NULL
"185327","2017-04-17","2017-04-17","1","185327","1",NULL,NULL,"1","59.0000"
"185342","2017-03-26","2017-03-26","1","185342","1","1","7.0000",NULL,NULL
"185351","2017-04-03","2017-05-14","10","185351","10","1","7.0000","9","701.6000"
"185363","2017-04-12","2017-04-12","1","185363","1",NULL,NULL,"1","78.0000"
"185364","2017-03-26","2017-03-26","1","185364","1","1","12.0000",NULL,NULL
"185369","2017-03-26","2017-03-26","1","185369","1","1","12.0000",NULL,NULL
"185375","2017-04-07","2017-04-07","1","185375","3","1","20.0000",NULL,NULL
