id,orders,days
"48849","28","1"
"48964","48","0"
"48990","45","2"
"49169","38","1"
"49633","51","0"
"49859","385","0"
"50483","17","0"
"50924","643","0"
"51036","52","2"
"51049","286","0"
"51135","1","18"
"51233","5","3"
"51741","9","2"
"52007","6","9"
"52118","26","0"
"52470","1","13"
"52718","42","0"
"53143","365","0"
"53183","7","4"
"53356","24","2"
"53849","207","0"
"53988","5","17"
"54102","2","1"
"54775","197","0"
"55370","11","2"
"55612","6","3"
"55926","267","0"
"56716","8","4"
"57041","19","1"
"57249","1","22"
"57311","1","4"
"57355","3","5"
"57512","5","5"
"57580","1227","0"
"57612","155","0"
"57711","12","1"
"58767","7","10"
"59218","10","4"
"59537","47","2"
"59554","33","1"
"59562","2","13"
"59622","8","10"
"59683","2","15"
"59896","4","16"
"60027","8","6"
"60036","86","0"
"60141","247","0"
"60407","56","4"
"60584","10","8"
"60763","3","16"
"60787","81","0"
"60867","36","6"
"60873","16","4"
"61232","14","1"
"61361","16","1"
"61406","5","4"
"61496","21","0"
"61711","6","13"
"62021","1","30"
"62150","16","12"
"62219","41","0"
"62482","2","11"
"62588","3","8"
"62914","48","1"
"62951","4","3"
"62980","57","0"
"63015","5","8"
"63293","3","13"
"63387","118","0"
"63472","1","16"
"64333","1","18"
"64512","6","3"
"64614","18","5"
"64629","73","1"
"65028","43","1"
"65177","28","0"
"65346","54","1"
"65409","21","11"
"65654","1","22"
"65705","13","4"
"65819","37","0"
"65905","38","0"
"66105","20","3"
"66500","5","1"
"66818","2","1"
"66919","3","7"
"66953","9","5"
"67048","52","0"
"67280","83","0"
"67309","2","13"
"67312","5","15"
"67336","30","4"
"67413","388","0"
"67527","133","0"
"67604","107","0"
"67902","129","0"
"67980","16","2"
"68266","14","9"
"68627","12","2"
"68868","4","7"
"68926","11","9"
"68959","4","0"
"69440","41","1"
"69532","43","0"
"69534","4","2"
"69544","19","5"
"69624","67","2"
"69775","2","9"
"70016","26","3"
"70087","10","1"
"70133","50","2"
"70264","194","0"
"70506","34","5"
"70555","8","9"
"70586","2","27"
"70591","21","0"
"70871","8","5"
"70927","31","3"
"71183","21","2"
"71495","24","3"
"71500","95","0"
"71509","30","3"
"71632","36","6"
"71674","47","0"
"71721","189","0"
"71753","43","1"
"71759","3","2"
"71811","138","1"
"71861","34","1"
"71961","5","11"
"72108","89","0"
"72127","14","5"
"72139","14","0"
"72170","12","2"
"72834","24","0"
"72949","19","1"
"72979","1","7"
"72981","8","4"
"72993","31","2"
"72998","3","10"
"73020","20","4"
"73132","22","2"
"73198","186","0"
