id,first,last,num,total_cnt,promotion_cnt,coupon_cnt
"256361","2017-05-07","2017-05-31","2","2",NULL,NULL
"256381","2017-04-20","2017-05-30","6","6","2",NULL
"256386","2017-04-20","2017-05-28","4","4","1","1"
"256437","2017-05-07","2017-05-27","3","3","1","1"
"256469","2017-05-27","2017-05-27","1","1","1",NULL
"256507","2017-06-01","2017-06-01","1","1","1",NULL
"256562","2017-04-27","2017-06-06","2","2","1","1"
"257021","2017-04-20","2017-06-01","4","4","2",NULL
"257069","2017-04-20","2017-06-01","4","4","2",NULL
"257137","2017-06-04","2017-06-04","1","1",NULL,NULL
"257177","2017-04-20","2017-06-07","9","9","4",NULL
"257322","2017-05-04","2017-06-04","2","2",NULL,"1"
"257503","2017-04-20","2017-05-27","4","4","2",NULL
"257528","2017-05-28","2017-05-28","1","1","1",NULL
"257577","2017-05-07","2017-05-24","4","5",NULL,NULL
"257731","2017-06-08","2017-06-08","1","1",NULL,NULL
"257756","2017-05-27","2017-05-27","1","1",NULL,NULL
"257762","2017-04-20","2017-05-23","3","3",NULL,NULL
"257796","2017-05-12","2017-05-25","4","4","2","1"
"258004","2017-04-29","2017-05-24","5","5",NULL,NULL
"258077","2017-05-24","2017-05-24","2","2",NULL,NULL
"258125","2017-04-20","2017-06-05","3","3",NULL,NULL
"258179","2017-05-26","2017-05-26","1","1",NULL,NULL
"258267","2017-05-22","2017-05-27","3","3",NULL,NULL
"258306","2017-05-22","2017-05-27","6","6","5","1"
"258361","2017-04-20","2017-06-01","7","7","2","1"
"258373","2017-04-20","2017-06-04","5","5",NULL,NULL
"258438","2017-04-20","2017-06-05","8","8",NULL,NULL
"258545","2017-06-04","2017-06-04","1","1",NULL,NULL
"258651","2017-05-28","2017-05-28","1","1","1",NULL
"258687","2017-06-08","2017-06-08","1","1",NULL,NULL
"258782","2017-04-21","2017-06-08","2","2",NULL,NULL
"258841","2017-04-21","2017-05-25","3","3","1",NULL
"258865","2017-04-21","2017-06-02","28","28","3","11"
"258902","2017-04-21","2017-06-06","7","7","1","1"
"258936","2017-05-03","2017-05-26","10","10","1","3"
"258983","2017-05-25","2017-06-05","2","2","1",NULL
"259009","2017-04-21","2017-05-26","4","4","3","1"
"259020","2017-04-21","2017-05-27","3","3","1",NULL
"259040","2017-04-21","2017-05-27","3","3","2",NULL
"259072","2017-05-26","2017-05-26","1","1","1",NULL
"259107","2017-04-21","2017-05-27","2","2","2",NULL
"259174","2017-04-23","2017-05-23","3","3",NULL,NULL
"259190","2017-05-28","2017-05-28","1","1",NULL,NULL
"259202","2017-05-21","2017-06-02","2","2",NULL,NULL
"259211","2017-04-21","2017-06-02","2","2","1",NULL
"259239","2017-04-23","2017-05-28","4","4","1","1"
"259244","2017-05-25","2017-05-25","1","1","1",NULL
"259274","2017-05-25","2017-06-02","2","2","1",NULL
"259293","2017-05-25","2017-06-01","2","2","1",NULL
"259400","2017-04-23","2017-05-31","4","4",NULL,NULL
"259446","2017-04-21","2017-05-31","7","7","3","2"
"259562","2017-04-21","2017-05-27","2","2","1",NULL
"259641","2017-04-21","2017-05-28","24","24","8","15"
"259657","2017-04-21","2017-06-08","2","2","1",NULL
"259739","2017-05-27","2017-05-27","1","1","1",NULL
"259745","2017-04-21","2017-05-27","4","4","2","1"
"259915","2017-04-21","2017-06-08","10","10","1","2"
"260072","2017-05-09","2017-05-28","3","3","2",NULL
"260116","2017-04-23","2017-05-27","4","4","1","1"
"260120","2017-04-21","2017-05-23","3","3",NULL,NULL
"260196","2017-06-05","2017-06-05","1","1",NULL,NULL
"260209","2017-04-23","2017-06-05","3","3",NULL,"1"
"260219","2017-05-04","2017-06-08","2","2",NULL,NULL
"260264","2017-04-21","2017-05-27","5","7","2","1"
"260277","2017-04-21","2017-05-27","6","6","4","2"
"260310","2017-04-25","2017-05-25","5","5","1",NULL
"260315","2017-04-21","2017-06-05","5","5","1",NULL
"260439","2017-05-07","2017-06-04","2","2",NULL,NULL
"260464","2017-06-06","2017-06-06","1","1",NULL,NULL
"260579","2017-04-21","2017-05-27","2","2","1",NULL
"260613","2017-04-21","2017-05-27","7","7",NULL,NULL
"260621","2017-04-23","2017-05-28","20","20","7","12"
"260638","2017-04-22","2017-05-23","3","3",NULL,NULL
"260714","2017-04-21","2017-06-04","12","12","3","3"
"260766","2017-05-26","2017-06-08","5","5","1",NULL
"260784","2017-04-22","2017-05-27","5","5","2",NULL
"260787","2017-04-21","2017-06-01","7","7",NULL,NULL
"260841","2017-05-07","2017-06-08","3","3",NULL,NULL
"260857","2017-05-26","2017-05-28","2","2",NULL,"2"
"260916","2017-05-22","2017-05-25","2","2","1",NULL
"260981","2017-04-21","2017-05-30","6","6","1",NULL
"260983","2017-05-28","2017-05-29","2","2",NULL,NULL
"261010","2017-04-21","2017-05-29","2","2","1",NULL
"261039","2017-04-26","2017-05-25","4","4","1","1"
"261064","2017-05-02","2017-05-27","6","6","1",NULL
"261101","2017-04-28","2017-05-27","4","4","2","1"
"261213","2017-04-22","2017-06-05","3","3",NULL,NULL
"261237","2017-04-21","2017-05-29","5","5","2",NULL
"261275","2017-05-17","2017-05-29","4","4","1",NULL
"261295","2017-05-25","2017-05-25","1","1","1",NULL
"261322","2017-05-05","2017-05-24","5","5",NULL,NULL
"261324","2017-04-23","2017-05-27","3","3","1","2"
"261347","2017-06-06","2017-06-06","1","1",NULL,NULL
"261375","2017-05-28","2017-05-28","1","1",NULL,NULL
"261439","2017-05-24","2017-05-24","1","1",NULL,NULL
"261508","2017-05-08","2017-05-26","2","2","1","1"
"261514","2017-05-25","2017-05-25","1","1","1",NULL
"261547","2017-05-27","2017-05-27","2","2",NULL,"2"
"261659","2017-04-21","2017-06-02","2","2",NULL,NULL
"261687","2017-04-21","2017-05-26","5","5","2",NULL
"261714","2017-04-30","2017-05-31","3","3",NULL,"1"
"261737","2017-04-21","2017-06-04","7","7",NULL,NULL
"261754","2017-04-21","2017-06-06","4","4","2",NULL
"261819","2017-05-17","2017-05-24","2","2",NULL,NULL
"261895","2017-05-27","2017-05-29","4","4","1","1"
"261899","2017-05-27","2017-05-27","1","1","1",NULL
"261930","2017-05-29","2017-05-29","1","1",NULL,NULL
"261939","2017-05-28","2017-05-28","1","1",NULL,"1"
"262014","2017-04-21","2017-05-27","5","5","2","1"
"262191","2017-04-21","2017-05-28","3","3",NULL,"1"
"262224","2017-05-09","2017-05-26","4","4","2",NULL
"262277","2017-04-27","2017-06-07","8","8","1","5"
"262312","2017-05-01","2017-05-25","4","4","2",NULL
"262426","2017-05-30","2017-05-30","1","1",NULL,"1"
"262428","2017-05-25","2017-05-26","3","3","1",NULL
"262588","2017-04-22","2017-05-26","5","5","4",NULL
"262604","2017-05-26","2017-05-26","1","1","1",NULL
"262628","2017-04-30","2017-05-28","3","3",NULL,NULL
"262738","2017-04-23","2017-05-23","2","2","1",NULL
"262739","2017-04-22","2017-06-07","3","3","1",NULL
"262744","2017-04-22","2017-05-27","3","3","2",NULL
"262777","2017-05-25","2017-05-26","2","2","1",NULL
"262840","2017-04-22","2017-06-05","6","7","3","2"
"262927","2017-05-25","2017-06-02","4","4","2","1"
"262952","2017-06-03","2017-06-03","1","1",NULL,NULL
"262984","2017-04-22","2017-06-05","5","5","1",NULL
"263000","2017-04-22","2017-05-27","3","3","1","2"
"263027","2017-05-23","2017-05-23","1","1",NULL,NULL
"263093","2017-05-23","2017-05-23","1","1",NULL,"1"
"263108","2017-04-22","2017-05-26","4","4","2","1"
"263173","2017-06-04","2017-06-04","1","1",NULL,NULL
"263258","2017-04-22","2017-06-07","2","2","1","1"
"263272","2017-06-02","2017-06-02","1","1",NULL,"1"
"263283","2017-05-05","2017-06-03","9","9","1","8"
"263299","2017-04-23","2017-06-08","24","24","4",NULL
"263315","2017-05-12","2017-05-26","4","4","2","1"
"263379","2017-06-07","2017-06-08","2","2",NULL,"1"
"263409","2017-05-07","2017-06-06","3","3",NULL,"1"
"263415","2017-05-05","2017-05-27","6","6",NULL,"3"
"263420","2017-05-24","2017-06-03","2","2",NULL,NULL
"263425","2017-04-22","2017-06-02","12","12","3","2"
"263447","2017-06-04","2017-06-04","1","1",NULL,NULL
"263573","2017-05-26","2017-05-26","1","1","1",NULL
"263602","2017-04-22","2017-05-24","2","2","2",NULL
"263645","2017-05-25","2017-05-25","1","1",NULL,NULL
"263673","2017-04-23","2017-06-05","8","8","1",NULL
"263677","2017-05-04","2017-05-27","4","4","1",NULL
"263689","2017-05-06","2017-06-03","4","4","1",NULL
"263693","2017-04-22","2017-05-27","2","2","2",NULL
"263694","2017-05-03","2017-05-26","2","2","2",NULL
"263770","2017-05-06","2017-05-31","2","2",NULL,NULL
"263802","2017-05-05","2017-06-07","2","2",NULL,NULL
"263835","2017-04-22","2017-06-08","3","4","1",NULL
"263860","2017-04-22","2017-05-26","2","2","2",NULL
"263893","2017-04-26","2017-05-27","2","2",NULL,"1"
