
id,day,time
"290","1","2017-03-12 15"
"290","7","2017-03-18 19"
"290","7","2017-03-18 19"
"290","7","2017-03-18 19"
"290","1","2017-03-19 12"
"290","1","2017-03-26 12"
"290","7","2017-04-01 09"
"290","7","2017-04-01 18"
"290","7","2017-04-01 20"
"290","7","2017-04-01 20"
"290","1","2017-04-02 15"
"290","1","2017-04-16 20"
"290","1","2017-04-16 22"
"290","7","2017-04-22 10"
"290","7","2017-04-22 21"
"290","1","2017-04-23 21"
"290","7","2017-04-29 09"
"290","7","2017-04-29 09"
"290","1","2017-05-07 20"
"290","7","2017-05-13 11"
"290","7","2017-05-13 11"
"290","7","2017-05-13 19"
"290","1","2017-05-14 19"
"290","1","2017-05-14 22"
"290","7","2017-05-20 10"
"290","1","2017-05-21 20"
"290","7","2017-05-27 10"
"290","7","2017-05-27 10"
"291","7","2017-03-25 09"
"291","7","2017-03-25 10"
"291","7","2017-05-13 14"
"295","7","2017-03-11 18"
"295","1","2017-03-12 14"
"295","1","2017-03-26 12"
"295","7","2017-04-08 12"
"295","1","2017-05-21 12"
"301","7","2017-03-11 14"
"301","7","2017-03-18 12"
"301","7","2017-03-25 21"
"301","1","2017-04-09 18"
"306","7","2017-05-13 10"
"306","7","2017-05-13 10"
"306","7","2017-05-13 10"
"306","7","2017-05-13 10"
"306","1","2017-05-21 13"
"306","7","2017-05-27 11"
"309","7","2017-03-18 19"
"309","7","2017-03-18 19"
"309","7","2017-04-22 18"
"309","1","2017-04-23 10"
"309","1","2017-04-23 11"
"309","1","2017-04-30 21"
"309","1","2017-05-07 09"
"309","7","2017-05-13 10"
"309","1","2017-05-21 19"
"312","7","2017-03-11 08"
"312","7","2017-03-18 13"
"312","1","2017-03-26 12"
"312","7","2017-04-22 16"
"312","1","2017-05-21 18"
"312","1","2017-05-21 19"
"313","7","2017-03-25 21"
"313","7","2017-03-25 21"
"313","7","2017-04-15 21"
"313","7","2017-04-15 21"
"313","7","2017-05-13 10"
"313","7","2017-05-13 10"
"313","7","2017-05-13 10"
"313","1","2017-05-14 15"
"315","1","2017-03-26 21"
"315","1","2017-04-23 10"
"315","7","2017-04-29 14"
"315","7","2017-04-29 14"
"315","7","2017-04-29 14"
"315","7","2017-04-29 14"
"315","1","2017-05-14 20"
"316","7","2017-03-18 15"
"316","1","2017-03-19 15"
"316","7","2017-03-25 11"
"316","7","2017-04-08 20"
"316","7","2017-04-29 00"
"316","7","2017-04-29 00"
"316","1","2017-05-07 09"
"317","1","2017-03-26 12"
"317","1","2017-03-26 12"
"317","1","2017-03-26 21"
"317","7","2017-04-22 10"
"317","1","2017-05-07 09"
"317","1","2017-05-14 12"
"317","1","2017-05-21 21"
"317","1","2017-05-21 21"
"317","1","2017-05-21 21"
"320","7","2017-03-25 10"
"320","1","2017-04-16 20"
"320","1","2017-04-30 07"
"320","1","2017-04-30 07"
"320","1","2017-04-30 08"
"320","1","2017-04-30 08"
"320","1","2017-04-30 08"
"320","1","2017-04-30 08"
"328","1","2017-05-07 22"
"328","1","2017-05-14 16"
"337","1","2017-05-07 22"
"338","7","2017-03-18 07"
"338","1","2017-03-19 20"
"338","7","2017-03-25 08"
"338","7","2017-04-01 08"
"338","7","2017-04-01 08"
"338","7","2017-04-15 14"
"338","7","2017-04-22 15"
"338","7","2017-04-22 15"
"338","7","2017-04-22 15"
"338","1","2017-05-21 20"
"338","7","2017-05-27 10"
"338","7","2017-05-27 10"
"342","1","2017-03-05 15"
"342","1","2017-03-05 15"
"342","1","2017-03-19 20"
"342","1","2017-03-19 20"
"342","1","2017-04-09 19"
"342","1","2017-04-09 19"
"347","7","2017-04-22 16"
"347","7","2017-04-22 17"
"347","7","2017-04-22 17"
"347","7","2017-04-29 05"
"347","1","2017-04-30 20"
"349","1","2017-04-09 20"
"349","1","2017-04-16 00"
"349","7","2017-04-22 20"
"349","1","2017-04-30 21"
"349","1","2017-05-14 16"
"353","7","2017-04-15 16"
"355","7","2017-05-13 10"
"355","7","2017-05-13 10"
"355","7","2017-05-13 11"
"355","7","2017-05-13 12"
"355","7","2017-05-13 12"
"355","7","2017-05-20 10"
"356","1","2017-03-05 15"
"356","7","2017-03-11 16"
"356","7","2017-03-11 16"
"356","7","2017-03-18 19"
"356","7","2017-03-18 19"
"356","7","2017-04-15 11"
"356","7","2017-04-15 15"
"356","7","2017-04-22 07"
"356","7","2017-05-27 15"
"358","7","2017-05-13 12"
"358","1","2017-05-14 23"
"358","1","2017-05-21 22"
"364","7","2017-03-18 14"
"364","7","2017-04-08 21"
"364","1","2017-04-23 14"
"364","1","2017-04-23 22"
"364","7","2017-05-06 08"
"367","1","2017-03-12 15"
"367","7","2017-04-08 22"
"367","1","2017-04-09 20"
"368","7","2017-03-04 08"
"368","7","2017-03-04 18"
"368","7","2017-03-11 21"
"368","1","2017-03-12 14"
"368","1","2017-03-12 14"
"368","1","2017-03-12 14"
"368","1","2017-03-12 17"
"368","1","2017-03-12 17"
"368","7","2017-03-25 19"
"368","7","2017-03-25 21"
"368","7","2017-03-25 21"
"368","7","2017-03-25 22"
"368","1","2017-03-26 13"
"368","7","2017-04-01 12"
"368","7","2017-04-01 12"
"368","7","2017-04-01 19"
"368","1","2017-04-02 18"
"368","1","2017-04-02 18"
"368","1","2017-04-02 23"
"368","7","2017-04-08 19"
"368","7","2017-04-08 19"
"368","1","2017-04-09 07"
"368","1","2017-04-09 13"
"368","7","2017-04-15 22"
"368","1","2017-04-16 16"
"368","1","2017-04-16 17"
"368","7","2017-04-22 08"
"368","1","2017-04-23 19"
"368","7","2017-04-29 21"
"368","7","2017-04-29 22"
"368","1","2017-05-07 08"
"368","1","2017-05-07 19"
"368","7","2017-05-13 10"
"368","1","2017-05-14 10"
"368","1","2017-05-14 10"
"368","1","2017-05-14 22"
"368","7","2017-05-20 22"
"376","1","2017-03-05 21"
"376","7","2017-03-18 18"
"378","1","2017-04-02 13"
"378","7","2017-05-06 13"
"378","7","2017-05-06 13"
"378","1","2017-05-21 18"
"378","7","2017-05-27 11"
"379","7","2017-03-18 19"
"379","1","2017-03-26 23"
"379","1","2017-04-16 21"
"379","1","2017-04-23 13"
"392","1","2017-03-12 14"
"392","7","2017-03-18 09"
"392","7","2017-03-18 21"
"392","7","2017-05-13 10"
"392","7","2017-05-13 10"
"392","7","2017-05-13 10"
"392","7","2017-05-13 10"
"398","1","2017-04-23 23"
"411","7","2017-04-01 16"
"411","7","2017-04-01 16"
"411","7","2017-04-22 17"
"411","1","2017-04-23 06"
"411","7","2017-05-13 07"
"411","1","2017-05-21 19"
"427","1","2017-03-05 12"
"427","1","2017-03-05 12"
"427","1","2017-03-12 22"
"427","1","2017-03-12 22"
"427","1","2017-03-12 22"
"427","1","2017-03-12 22"
"427","7","2017-04-22 14"
"427","7","2017-04-22 14"
"427","7","2017-04-22 14"
"427","7","2017-05-06 14"
"427","1","2017-05-14 09"
"430","7","2017-03-18 19"
"430","7","2017-03-18 21"
"430","1","2017-03-19 12"
"430","1","2017-03-19 12"
"430","1","2017-03-19 18"
"430","1","2017-03-19 21"
"430","7","2017-03-25 11"
"430","7","2017-04-01 15"
"430","7","2017-04-01 15"
"430","1","2017-04-16 11"
"430","7","2017-04-22 08"
"430","7","2017-04-22 09"
"430","1","2017-04-23 22"
"430","1","2017-04-23 22"
"430","7","2017-04-29 16"
"430","7","2017-05-06 13"
"430","7","2017-05-06 21"
"430","1","2017-05-14 20"
"430","1","2017-05-21 09"
"430","1","2017-05-21 09"
"430","1","2017-05-21 20"
"432","7","2017-05-13 10"
"432","1","2017-05-21 19"
"432","7","2017-05-27 10"
"435","7","2017-03-11 17"
"435","1","2017-03-12 14"
"435","1","2017-03-19 19"
"437","1","2017-04-16 23"
"438","1","2017-04-16 18"
"438","1","2017-04-16 18"
"438","7","2017-05-13 11"
"446","7","2017-03-18 20"
"446","1","2017-05-21 21"
"447","7","2017-04-08 07"
"447","7","2017-04-08 07"
"447","7","2017-04-08 07"
"448","7","2017-04-08 14"
"448","7","2017-04-08 14"
"493","7","2017-03-25 13"
"540","7","2017-04-01 20"
