id,hour
"21","23"
"22","11"
"22","14"
"28","13"
"28","21"
"34","15"
"40","23"
"46","19"
"51","00"
"51","23"
"55","09"
"55","10"
"59","10"
"59","19"
"62","19"
"70","15"
"76","10"
"76","11"
"83","15"
"101","14"
"156","20"
"158","18"
"160","21"
"161","16"
"161","22"
"165","15"
"165","16"
"165","17"
"165","20"
"237","14"
"239","23"
"248","19"
"248","23"
"256","21"
"257","11"
"257","13"
"257","16"
"257","19"
"259","07"
"260","08"
"260","09"
"261","09"
"261","11"
"264","14"
"265","08"
"265","09"
"265","15"
"266","18"
"267","14"
"267","18"
"267","20"
"269","22"
"270","21"
"271","12"
"271","13"
"273","10"
"275","10"
"276","08"
"279","22"
"280","19"
"281","16"
"281","19"
"282","13"
"283","11"
"284","21"
"285","16"
"286","20"
"287","01"
"287","15"
"287","21"
"289","13"
"289","14"
"289","19"
"290","09"
"291","07"
"294","11"
"295","12"
"301","11"
"301","12"
"302","14"
"302","22"
"305","21"
"306","23"
"309","10"
"311","10"
"311","21"
"312","10"
"312","18"
"313","21"
"315","20"
"316","00"
"316","09"
"316","15"
"316","17"
"317","21"
"320","18"
"323","08"
"324","09"
"324","18"
"328","12"
"328","13"
"328","14"
"328","16"
"328","19"
"328","22"
"336","09"
"336","21"
"337","10"
"337","12"
"337","22"
"338","08"
"342","15"
"342","19"
"342","20"
"344","06"
"344","10"
"345","12"
"347","08"
"348","05"
"348","10"
"348","19"
"348","22"
"349","09"
"353","07"
"353","13"
"355","10"
"355","15"
"355","17"
"356","19"
"358","23"
"364","22"
"367","12"
"368","12"
"376","22"
"378","13"
"379","13"
"392","10"
"395","22"
"398","22"
"398","23"
"411","06"
"411","16"
"427","13"
"429","23"
"430","12"
"431","20"
"432","19"
"434","16"
"434","18"
"435","10"
"437","23"
"438","19"
"446","21"
"447","07"
"448","14"
"493","13"
"493","22"
"540","11"
"540","20"
"554","10"
"554","13"
"554","20"
"559","10"
"565","20"
"614","16"
"614","22"
"841","00"
"841","10"
"900","17"
"910","13"
"1059","11"
"1059","20"
"1059","21"
"1095","18"
"1095","23"
"1298","20"
"1360","01"
"1437","10"
"1472","13"
"1487","15"
"1566","23"
"1567","14"
"1568","22"
"1577","21"
"1579","16"
"1580","12"
"1610","07"
"1620","16"
"1647","12"
"1647","15"
"1647","17"
"1647","22"
"1688","09"
"1688","11"
"1688","17"
"1697","09"
"1710","22"
"1738","14"
"1738","17"
"1743","20"
"1753","08"
"1754","16"
"1827","08"
"1840","11"
"1863","20"
"1875","15"
"1875","20"
"1915","00"
"1934","20"
"1941","20"
"2011","13"
"2015","10"
"2067","10"
"2067","14"
"2067","18"
"2067","19"
"2067","22"
"2169","14"
"3311","12"
"3311","15"
"3339","15"
"3398","07"
"3398","08"
"3398","10"
"3398","12"
"3402","10"
"3404","11"
"3404","14"
"3406","09"
"3407","14"
