id,zxs,orders,days_range,frequency
"6160","0","1","378","378.0000"
"6168","129266","23","131","5.6957"
"6183","5828","1","0","0.0000"
"6231","8634","14","461","32.9286"
"6255","237","22","362","16.4545"
"6260","237","50","404","8.0800"
"6262","237","9","433","48.1111"
"6266","237","6","325","54.1667"
"6269","237","8","399","49.8750"
"6270","237","8","257","32.1250"
"6272","237","3","276","92.0000"
"6273","237","2","244","122.0000"
"6274","237","46","467","10.1522"
"6275","6275","15","148","9.8667"
"6279","237","96","313","3.2604"
"6283","6283","12","429","35.7500"
"6288","237","13","470","36.1538"
"6289","237","5","57","11.4000"
"6291","237","1","379","379.0000"
"6292","39840","41","141","3.4390"
"6294","237","3","133","44.3333"
"6310","237","3","241","80.3333"
"6311","237","22","404","18.3636"
"6317","237","11","374","34.0000"
"6337","237","6","382","63.6667"
"6344","6344","54","133","2.4630"
"6356","39840","6","75","12.5000"
"6358","237","4","386","96.5000"
"6376","20442","42","142","3.3810"
"6382","268828","12","35","2.9167"
"6389","237","14","335","23.9286"
"6400","237","1","0","0.0000"
"6401","33281","11","143","13.0000"
"6456","3398","1","0","0.0000"
"6469","29656","5","75","15.0000"
"6492","135063","14","240","17.1429"
"6612","6612","17","415","24.4118"
"6705","6705","54","463","8.5741"
"6710","59","1","10","10.0000"
"6711","59","2","0","0.0000"
"6716","479631","2","1","0.5000"
"6724","1472","6","361","60.1667"
"6725","1472","36","464","12.8889"
"6726","1472","2","437","218.5000"
"6734","1472","9","448","49.7778"
"6742","1472","20","469","23.4500"
"6746","13257","2","345","172.5000"
"6756","1472","10","474","47.4000"
"6760","1472","9","471","52.3333"
"6764","1568","8","354","44.2500"
"6766","57612","38","462","12.1579"
"6770","1472","24","468","19.5000"
"6785","1472","1","437","437.0000"
"6791","1472","3","13","4.3333"
"6793","1472","5","339","67.8000"
"6799","20442","60","186","3.1000"
"6818","6818","5","27","5.4000"
"6903","59","7","380","54.2857"
"6904","59","10","471","47.1000"
"6906","59","1","0","0.0000"
"6907","59","15","440","29.3333"
"6913","59","47","443","9.4255"
"6914","59","67","439","6.5522"
"6915","59","2","0","0.0000"
"6920","83","20","472","23.6000"
"6924","59","3","432","144.0000"
"7022","59","6","239","39.8333"
"7037","59","1","463","463.0000"
"7046","4213","1","32","32.0000"
"7066","1472","38","443","11.6579"
"7075","1472","62","459","7.4032"
"7089","8634","1","326","326.0000"
"7172","8634","12","246","20.5000"
"7173","0","36","165","4.5833"
"7195","59","10","134","13.4000"
"7223","59","1","391","391.0000"
"7224","8634","24","421","17.5417"
"7241","7241","4","337","84.2500"
"7244","2169","5","405","81.0000"
"7246","59","1","325","325.0000"
"7249","8634","1","435","435.0000"
"7262","59","2","357","178.5000"
"7283","1472","8","457","57.1250"
"7292","1472","2","354","177.0000"
"7296","1472","49","465","9.4898"
"7340","1472","14","404","28.8571"
"7403","8634","3","323","107.6667"
"7412","0","3","373","124.3333"
"7472","8634","27","452","16.7407"
"7504","1568","13","262","20.1538"
"7517","116959","5","40","8.0000"
"7518","1568","9","451","50.1111"
"7521","841","9","411","45.6667"
"7526","1568","11","379","34.4545"
"7534","89655","3","433","144.3333"
"7569","280827","2","458","229.0000"
"7574","179513","1",NULL,NULL
"7580","191207","1","436","436.0000"
"7587","53849","2","55","27.5000"
"7602","841","1","248","248.0000"
"7623","7623","1","0","0.0000"
"7649","33433","1","170","170.0000"
"7661","171026","1","367","367.0000"
"7662","118242","1","359","359.0000"
"7722","235384","4","427","106.7500"
"7723","53849","27","454","16.8148"
"7728","7728","57","445","7.8070"
"7745","841","3","326","108.6667"
"7760","92122","1","0","0.0000"
"7775","0","1","190","190.0000"
"7782","841","1","306","306.0000"
"7786","69532","2","53","26.5000"
"7815","1472","6","416","69.3333"
"7821","1472","13","303","23.3077"
"7847","13752","2","346","173.0000"
"7860","54775","5","377","75.4000"
"7864","1472","4","377","94.2500"
"7868","1472","6","463","77.1667"
"7885","1472","34","438","12.8824"
"7889","59","30","292","9.7333"
"7890","3398","36","458","12.7222"
"7893","841","3","428","142.6667"
"7897","26197","1","455","455.0000"
"7900","237","3","236","78.6667"
"7901","4285","15","445","29.6667"
"7912","841","1","146","146.0000"
"7926","19464","5","64","12.8000"
"7960","53849","9","440","48.8889"
"7997","0","1","336","336.0000"
"8006","841","1","245","245.0000"
"8036","7241","5","28","5.6000"
"8050","8050","31","448","14.4516"
"8052","1472","1","325","325.0000"
"8098","8634","2","329","164.5000"
"8108","59","2","380","190.0000"
"8121","8634","28","452","16.1429"
"8124","8634","1","340","340.0000"
"8128","0","3","403","134.3333"
"8180","8634","12","126","10.5000"
"8197","0","32","286","8.9375"
"8212","5356","2","218","109.0000"
"8214","5130","29","448","15.4483"
"8217","5130","3","451","150.3333"
"8249","8249","6","23","3.8333"
"8258","0","2","232","116.0000"
"8265","5130","4","427","106.7500"
"8268","150342","15","452","30.1333"
"8273","1754","1","0","0.0000"
"8292","5130","2","368","184.0000"
"8312","128203","16","86","5.3750"
"8316","5130","12","379","31.5833"
"8317","8317","4","24","6.0000"
"8340","5130","12","351","29.2500"
"8350","5130","6","373","62.1667"
"8395","5130","13","387","29.7692"
"8457","1472","18","420","23.3333"
"8510","228563","60","83","1.3833"
"8542","26197","2","7","3.5000"
"8547","8634","3","308","102.6667"
"8572","26197","40","448","11.2000"
"8575","127849","3","420","140.0000"
"8615","33433","3","352","117.3333"
"8621","8621","2","404","202.0000"
"8634","8634","2","291","145.5000"
"8635","0","2","421","210.5000"
"8640","34","2","68","34.0000"
"8668","841","1","231","231.0000"
"8689","51049","1","403","403.0000"
"8922","8634","5","335","67.0000"
"9000","841","3","426","142.0000"
"9004","8634","18","448","24.8889"
"9019","1472","2","395","197.5000"
"9029","3398","6","425","70.8333"
"9069","3398","2","452","226.0000"
"9083","9083","17","441","25.9412"
"9087","841","1","226","226.0000"
"9106","3398","7","327","46.7143"
"9119","841","1","303","303.0000"
"9135","237","48","441","9.1875"
"9154","1568","48","433","9.0208"
"9156","1568","37","445","12.0270"
"9158","9698","1",NULL,NULL
"9160","1568","56","456","8.1429"
"9177","113653","12","415","34.5833"
"9218","273","22","112","5.0909"
"9261","8634","11","450","40.9091"
"9266","114260","2","0","0.0000"
"9343","1472","8","446","55.7500"
"9349","1472","53","428","8.0755"
"9352","1568","85","441","5.1882"
"9356","1568","2","433","216.5000"
"9360","1472","3","446","148.6667"
"9367","40866","1","0","0.0000"
"9383","1568","2","357","178.5000"
"9393","1568","36","405","11.2500"
"9405","18964","1","0","0.0000"
"9416","171026","45","119","2.6444"
"9451","246921","39","69","1.7692"
"9482","1472","91","453","4.9780"
"9491","51","9","327","36.3333"
"9498","1472","3","241","80.3333"
"9512","0","3","438","146.0000"
"9530","8634","1","325","325.0000"
"9547","9547","79","448","5.6709"
"9578","8634","36","364","10.1111"
"9628","8634","10","320","32.0000"
"9667","9667","61","436","7.1475"
"9673","1568","10","395","39.5000"
"9674","1568","25","454","18.1600"
"9676","1568","8","409","51.1250"
"9693","1568","1","131","131.0000"
"9696","1568","12","363","30.2500"
"9697","1568","27","435","16.1111"
"9698","0","135","442","3.2741"
"9711","9711","7","369","52.7143"
"9713","9711","2","383","191.5000"
"9714","20593","30","444","14.8000"
"9718","9711","7","362","51.7143"
"9719","9711","1","305","305.0000"
"9720","0","4","132","33.0000"
"9723","228592","1","0","0.0000"
"9731","9731","25","438","17.5200"
"9734","9711","1","307","307.0000"
"9740","9731","3","0","0.0000"
"9745","9711","3","315","105.0000"
"9748","9711","7","378","54.0000"
"9771","1568","7","277","39.5714"
"9781","9781","19","436","22.9474"
"9783","9711","5","439","87.8000"
"9786","136906","1","0","0.0000"
"9790","9711","1","240","240.0000"
"9801","72993","28","251","8.9643"
"9809","9711","1","415","415.0000"
"9813","1568","6","433","72.1667"
"9819","96114","1","0","0.0000"
"9857","1472","1","294","294.0000"
"9872","9872","1","302","302.0000"
"9874","9547","18","449","24.9444"
"9887","1472","1","299","299.0000"
"9891","9547","2","337","168.5000"
"9893","9547","18","406","22.5556"
"9924","9547","7","420","60.0000"
"9925","9547","54","437","8.0926"
"9929","1568","11","366","33.2727"
"9932","9547","1","329","329.0000"
"9985","9547","50","415","8.3000"
"10000","0","2","374","187.0000"
"10003","9547","5","96","19.2000"
"10008","1568","1","353","353.0000"
"10019","8634","9","27","3.0000"
"10020","10020","2","13","6.5000"
"10026","9547","1","0","0.0000"
"10061","1568","9","337","37.4444"
"10076","10076","9","189","21.0000"
"10081","10081","50","342","6.8400"
"10099","10099","29","340","11.7241"
"10101","10099","1","243","243.0000"
"10104","8050","8","296","37.0000"
"10106","294541","5","17","3.4000"
"10111","9547","5","270","54.0000"
"10114","8050","3","374","124.6667"
"10116","10116","1","102","102.0000"
"10117","8050","1","193","193.0000"
"10133","9711","5","301","60.2000"
"10138","10138","69","427","6.1884"
"10158","8050","1","282","282.0000"
"10163","9711","1","300","300.0000"
"10174","172282","3","14","4.6667"
"10187","9711","10","398","39.8000"
"10208","9711","4","315","78.7500"
"10219","333139","5","26","5.2000"
"10229","284626","1","0","0.0000"
"10231","8050","2","416","208.0000"
"10234","9711","9","354","39.3333"
"10244","9711","9","414","46.0000"
"10252","23358","5","285","57.0000"
"10259","9711","2","267","133.5000"
"10283","9711","1","327","327.0000"
"10284","10284","30","374","12.4667"
"10287","0","2","107","53.5000"
"10304","237","31","328","10.5806"
"10310","237","1","313","313.0000"
"10315","237","8","357","44.6250"
"10317","102570","2","1","0.5000"
"10322","237","7","408","58.2857"
"10323","237","17","181","10.6471"
"10324","10324","2","207","103.5000"
"10329","237","15","235","15.6667"
"10330","237","8","318","39.7500"
"10332","237","1","417","417.0000"
"10334","46833","5","291","58.2000"
"10335","46833","1","76","76.0000"
"10336","46833","2","3","1.5000"
"10338","46833","8","249","31.1250"
"10341","46833","9","273","30.3333"
"10343","10099","1","334","334.0000"
"10350","8634","51","335","6.5686"
"10352","46833","2","0","0.0000"
"10365","46833","20","262","13.1000"
"10367","10367","6","278","46.3333"
"10369","59","9","380","42.2222"
"10374","237","1","219","219.0000"
"10375","46833","6","298","49.6667"
"10377","8050","1","175","175.0000"
"10388","237","15","398","26.5333"
"10392","1568","41","427","10.4146"
"10397","0","1","326","326.0000"
"10403","59","104","352","3.3846"
"10409","237","2","232","116.0000"
"10432","841","1","238","238.0000"
"10448","9711","6","275","45.8333"
"10474","190332","10","54","5.4000"
"10508","33433","1","0","0.0000"
"10529","841","18","420","23.3333"
"10532","237","3","145","48.3333"
"10533","46833","3","170","56.6667"
"10540","1472","1","256","256.0000"
"10545","237","10","406","40.6000"
"10569","0","1","0","0.0000"
"10587","107540","2","22","11.0000"
"10589","23836","1","0","0.0000"
"10597","1472","1","311","311.0000"
"10598","260108","1",NULL,NULL
"10673","9711","2","391","195.5000"
"10676","9711","2","335","167.5000"
"10684","9711","13","386","29.6923"
"10689","9711","1","165","165.0000"
"10691","9547","8","449","56.1250"
"10692","9547","1","105","105.0000"
"10693","9547","1","375","375.0000"
"10694","9547","2","355","177.5000"
"10700","9547","7","363","51.8571"
"10703","9547","5","428","85.6000"
"10709","9547","9","419","46.5556"
"10716","9547","14","427","30.5000"
"10717","9547","5","393","78.6000"
"10728","9547","8","411","51.3750"
"10729","9547","4","358","89.5000"
"10733","10733","76","344","4.5263"
"10736","152539","1","0","0.0000"
"10740","9547","18","398","22.1111"
"10750","0","1","0","0.0000"
"10755","9547","10","448","44.8000"
"10759","9547","5","341","68.2000"
"10766","47190","1","0","0.0000"
"10783","9547","30","314","10.4667"
"10786","9547","5","426","85.2000"
"10794","9547","1","278","278.0000"
"10800","9547","1","85","85.0000"
"10804","10804","5","373","74.6000"
"10813","9547","22","396","18.0000"
"10818","132013","1","0","0.0000"
"10823","9547","3","263","87.6667"
"10827","63387","1","165","165.0000"
"10835","9547","28","334","11.9286"
"10838","10838","6","165","27.5000"
"10840","0","2","324","162.0000"
"10846","10804","2","299","149.5000"
"10853","9547","9","380","42.2222"
"10861","9711","1","360","360.0000"
"10872","10872","18","396","22.0000"
"10897","9711","11","395","35.9091"
"10899","9711","4","427","106.7500"
"10911","9711","3","0","0.0000"
"10916","152445","14","50","3.5714"
"10919","9547","3","16","5.3333"
"10925","9547","3","333","111.0000"
"10934","72993","3","261","87.0000"
"10935","9547","2","153","76.5000"
"10950","9547","1","414","414.0000"
"10951","8050","1","363","363.0000"
"10957","9547","6","365","60.8333"
"10962","267585","2","19","9.5000"
"10966","9711","12","402","33.5000"
"10977","9711","3","398","132.6667"
"10984","128620","2","0","0.0000"
"10997","90003","174","209","1.2011"
"10999","9547","9","233","25.8889"
"11002","11002","22","325","14.7727"
"11003","8050","15","305","20.3333"
"11004","9547","4","381","95.2500"
"11009","10081","1","0","0.0000"
"11038","1472","6","167","27.8333"
"11053","9711","1","260","260.0000"
"11055","9711","3","404","134.6667"
"11065","23414","3","45","15.0000"
"11070","8050","5","329","65.8000"
"11076","59","1","277","277.0000"
"11084","11084","6","365","60.8333"
"11103","8634","2","51","25.5000"
"11105","23358","2","166","83.0000"
"11108","8634","16","345","21.5625"
"11121","8050","1","349","349.0000"
"11130","9547","4","339","84.7500"
"11235","3398","11","285","25.9091"
"11246","31426","8","40","5.0000"
"11278","8050","4","225","56.2500"
"11302","9547","2","145","72.5000"
"11324","0","1","365","365.0000"
"11330","1472","2","386","193.0000"
"11334","31426","2","43","21.5000"
"11341","1472","1","0","0.0000"
"11346","8050","2","348","174.0000"
"11359","8050","1","290","290.0000"
"11368","1568","16","370","23.1250"
"11370","1568","68","448","6.5882"
"11383","1568","1","396","396.0000"
"11388","9731","8","61","7.6250"
"11390","8050","4","366","91.5000"
"11392","30625","2","123","61.5000"
"11393","402076","1","0","0.0000"
"11399","1568","1","239","239.0000"
"11418","9711","2","365","182.5000"
"11420","1568","5","403","80.6000"
"11433","0","7","383","54.7143"
"11434","1568","15","280","18.6667"
"11435","8050","2","291","145.5000"
"11465","0","4","318","79.5000"
"11474","120952","2",NULL,NULL
"11496","27980","6","54","9.0000"
"11497","1472","1","337","337.0000"
"11499","9547","7","438","62.5714"
"11500","9547","1","413","413.0000"
"11507","9547","14","366","26.1429"
"11515","11515","60","365","6.0833"
"11528","65177","8","130","16.2500"
