time,user_id,order
"2017-05-03 10","31831","8"
"2017-05-03 10","221813","8"
"2017-05-03 17","191111","8"
"2017-05-13 11","282781","8"
"2017-05-13 13","304051","8"
"2017-05-13 23","120363","8"
"2017-05-14 10","145007","8"
"2017-05-14 10","278151","8"
"2017-05-14 12","169981","8"
"2017-05-14 14","91526","8"
"2017-05-13 10","298997","7"
"2017-05-13 10","324586","7"
"2017-05-13 14","22048","7"
"2017-05-13 18","69548","7"
"2017-05-13 19","147795","7"
"2017-05-14 10","284001","7"
"2017-05-12 10","225451","7"
"2017-05-12 10","294293","7"
"2017-05-12 10","321494","7"
"2017-05-12 11","143605","7"
"2017-05-12 12","24842","7"
"2017-05-12 12","45912","7"
"2017-05-12 13","280593","7"
"2017-05-12 14","20442","7"
"2017-05-12 14","156188","7"
"2017-05-12 17","129751","7"
"2017-05-12 18","114033","7"
"2017-05-12 20","78159","7"
"2017-05-13 08","272261","7"
"2017-05-13 10","20442","7"
"2017-05-13 10","77859","7"
"2017-05-13 10","79980","7"
"2017-05-13 10","161688","7"
"2017-05-13 10","202355","7"
"2017-05-11 10","103146","7"
"2017-05-12 00","222275","7"
"2017-05-12 01","276666","7"
"2017-05-12 06","6279","7"
"2017-05-12 08","11558","7"
"2017-05-12 09","277370","7"
"2017-05-12 10","13645","7"
"2017-05-12 10","27926","7"
"2017-05-12 10","64199","7"
"2017-05-12 10","71753","7"
"2017-05-12 10","103120","7"
"2017-05-12 10","108612","7"
"2017-05-12 10","122503","7"
"2017-05-12 10","131828","7"
"2016-05-04 09","1472","7"
"2016-05-09 19","8689","7"
"2016-05-18 15","165","7"
"2016-05-20 17","3311","7"
"2016-05-24 19","165","7"
"2017-05-01 04","122409","7"
"2017-05-01 14","138289","7"
"2017-05-01 15","285989","7"
"2017-05-01 21","285865","7"
"2017-05-02 11","266621","7"
"2017-05-02 13","201578","7"
"2017-05-02 18","101259","7"
"2017-05-02 20","241187","7"
"2017-05-08 23","174097","7"
"2017-05-09 20","180966","7"
"2017-05-10 08","310923","7"
"2017-05-10 12","176634","7"
"2017-05-10 14","315426","7"
"2017-05-10 15","80861","7"
"2017-05-15 19","291660","7"
"2017-05-15 19","304666","7"
"2017-05-15 21","168335","7"
"2017-05-16 11","81534","7"
"2017-05-16 22","273841","7"
"2017-05-04 20","66490","7"
"2017-05-05 11","45803","7"
"2017-05-05 22","180135","7"
"2017-05-06 17","296106","7"
"2017-05-03 10","105432","7"
"2017-05-03 10","276552","7"
"2017-05-03 11","141242","7"
"2017-05-03 11","155463","7"
"2017-05-03 23","249517","7"
"2017-05-04 08","167704","7"
"2017-05-04 12","157197","7"
"2017-05-04 12","160167","7"
"2017-05-07 06","296583","7"
"2017-05-07 11","108537","7"
"2017-05-07 12","170461","7"
"2017-05-07 20","148961","7"
"2017-05-07 22","223448","7"
"2017-05-08 06","252376","7"
"2017-05-08 10","274899","7"
"2017-05-14 15","219344","7"
"2017-05-14 15","326396","7"
"2017-05-14 17","99696","7"
"2017-05-14 20","204848","7"
"2017-05-15 01","138337","7"
"2017-05-15 10","19464","7"
"2017-05-15 10","35507","7"
"2017-05-15 10","48333","7"
"2017-05-15 10","76220","7"
"2017-05-15 10","83993","7"
"2017-05-15 10","86021","7"
"2017-05-15 10","131468","7"
"2017-05-15 10","145655","7"
"2017-05-15 10","189171","7"
"2017-05-15 10","271034","7"
"2017-05-15 10","281454","7"
"2017-05-15 10","299353","7"
"2017-05-15 10","326340","7"
"2017-05-15 10","329122","7"
"2017-05-15 18","219877","7"
"2017-05-14 19","329270","6"
"2017-05-14 20","59467","6"
"2017-05-14 20","307649","6"
"2017-05-14 22","83","6"
"2017-05-14 22","4275","6"
"2017-05-14 22","38923","6"
"2017-05-14 22","171644","6"
"2017-05-14 23","284281","6"
"2017-05-15 10","5356","6"
"2017-05-15 10","30625","6"
"2017-05-15 10","49281","6"
"2017-05-15 10","58286","6"
"2017-05-15 10","81933","6"
"2017-05-15 10","135063","6"
"2017-05-15 10","145007","6"
"2017-05-15 10","148961","6"
"2017-05-15 10","154100","6"
"2017-05-15 10","160408","6"
"2017-05-15 10","163961","6"
"2017-05-15 10","170104","6"
"2017-05-15 10","198038","6"
"2017-05-15 10","219192","6"
"2017-05-15 10","219877","6"
"2017-05-15 10","224222","6"
"2017-05-15 10","227542","6"
"2017-05-15 10","243402","6"
"2017-05-15 10","243575","6"
"2017-05-15 10","247813","6"
"2017-05-15 10","254445","6"
"2017-05-15 10","271597","6"
"2017-05-15 10","279783","6"
"2017-05-15 10","284204","6"
"2017-05-15 10","289950","6"
"2017-05-15 10","299806","6"
"2017-05-15 10","299900","6"
"2017-05-15 10","316743","6"
"2017-05-15 10","329174","6"
"2017-05-15 11","214574","6"
"2017-05-15 11","322142","6"
"2017-05-15 12","220022","6"
"2017-05-15 12","329901","6"
"2017-05-15 17","107346","6"
"2017-05-16 11","243945","6"
"2017-05-16 11","274397","6"
"2017-05-16 11","290379","6"
"2017-05-16 14","319898","6"
"2017-05-16 16","71495","6"
"2017-05-16 16","309920","6"
"2017-05-16 17","303567","6"
"2017-05-16 19","107346","6"
"2017-05-16 19","144063","6"
"2017-05-16 21","31831","6"
"2017-05-16 21","158178","6"
"2017-05-11 14","319340","6"
"2017-05-11 19","4967","6"
"2017-05-12 00","298938","6"
"2017-05-12 01","260621","6"
"2017-05-12 03","69551","6"
"2017-05-12 05","306038","6"
"2017-05-12 06","50375","6"
"2017-05-12 07","148786","6"
"2017-05-12 07","294662","6"
"2017-05-12 07","301374","6"
"2017-05-12 07","321627","6"
"2017-05-12 09","4853","6"
"2017-05-12 10","4194","6"
"2017-05-12 10","10997","6"
"2017-05-12 10","32109","6"
"2017-05-12 10","48797","6"
"2017-05-12 10","71113","6"
"2017-05-12 10","118758","6"
"2017-05-12 10","137684","6"
"2017-05-12 10","144566","6"
"2017-05-12 10","160167","6"
"2017-05-12 10","160374","6"
"2017-05-12 10","189214","6"
"2017-05-12 10","192695","6"
"2017-05-13 10","274013","6"
"2017-05-13 10","280010","6"
"2017-05-13 10","285687","6"
"2017-05-13 10","286257","6"
"2017-05-13 10","289418","6"
"2017-05-13 10","301307","6"
"2017-05-13 10","315273","6"
"2017-05-13 11","44497","6"
"2017-05-13 11","314312","6"
"2017-05-13 12","188487","6"
"2017-05-13 13","54673","6"
"2017-05-13 13","143390","6"
"2017-05-13 14","326616","6"
"2017-05-13 15","280579","6"
"2017-05-13 15","315339","6"
"2017-05-13 17","327142","6"
"2017-05-13 19","120622","6"
"2017-05-13 19","254635","6"
"2017-05-13 20","201784","6"
"2017-05-13 22","75128","6"
"2017-05-14 00","125336","6"
"2017-05-14 10","40805","6"
"2017-05-14 10","76818","6"
"2017-05-14 10","102090","6"
"2017-05-14 10","114969","6"
"2017-05-14 10","138259","6"
"2017-05-14 10","167364","6"
"2017-05-14 10","191453","6"
"2017-05-14 10","296037","6"
"2017-05-14 11","207717","6"
"2017-05-14 12","165797","6"
"2017-05-14 13","20329","6"
"2017-05-14 13","91699","6"
"2017-05-12 10","216748","6"
"2017-05-12 10","256134","6"
"2017-05-12 10","282080","6"
"2017-05-12 10","313593","6"
"2017-05-12 11","322354","6"
"2017-05-12 12","172595","6"
"2017-05-12 12","258917","6"
"2017-05-12 13","323090","6"
"2017-05-12 14","137673","6"
"2017-05-12 14","231465","6"
"2017-05-12 14","241997","6"
"2017-05-12 14","319838","6"
"2017-05-12 15","51009","6"
"2017-05-12 17","33679","6"
"2017-05-12 17","64826","6"
"2017-05-12 19","212386","6"
"2017-05-12 21","268865","6"
"2017-05-13 01","203651","6"
"2017-05-13 08","64279","6"
"2017-05-13 08","208511","6"
"2017-05-13 09","257796","6"
"2017-05-13 10","19464","6"
"2017-05-13 10","23123","6"
"2017-05-13 10","41273","6"
"2017-05-13 10","41297","6"
"2017-05-13 10","48427","6"
"2017-05-13 10","60431","6"
"2017-05-13 10","65392","6"
"2017-05-13 10","71668","6"
"2017-05-13 10","82193","6"
"2017-05-13 10","117959","6"
"2017-05-13 10","138259","6"
"2017-05-13 10","139869","6"
"2017-05-13 10","146344","6"
"2017-05-13 10","151549","6"
"2017-05-13 10","160360","6"
"2017-05-13 10","161644","6"
"2017-05-13 10","188156","6"
"2017-05-13 10","198348","6"
"2017-05-13 10","211935","6"
"2017-05-13 10","215791","6"
"2017-05-13 10","242594","6"
"2017-05-13 10","250195","6"
"2017-05-13 10","253742","6"
"2017-05-08 20","171416","6"
"2017-05-08 21","64251","6"
"2017-05-08 22","194081","6"
"2017-05-08 22","276552","6"
"2017-05-09 14","107346","6"
"2017-05-09 15","183531","6"
"2017-05-09 19","83840","6"
"2017-05-09 19","144063","6"
"2017-05-10 07","296106","6"
"2017-05-10 10","138658","6"
