time,user_id,order
"2016-09-11 09","237","9"
"2016-09-28 15","165","9"
"2016-10-25 15","165","9"
"2016-11-04 19","1472","9"
"2017-04-01 16","201578","9"
"2017-04-29 18","1472","9"
"2017-05-03 16","172062","9"
"2017-05-05 14","38617","9"
"2017-04-22 03","120763","9"
"2017-04-24 23","107346","9"
"2016-11-28 11","165","9"
"2016-11-29 18","28948","9"
"2016-12-01 16","165","9"
"2016-12-09 00","237","9"
"2016-12-09 21","20442","9"
"2016-12-12 01","30052","9"
"2016-12-12 08","10116","9"
"2016-12-19 08","28499","9"
"2016-12-27 19","165","9"
"2016-12-28 21","90485","9"
"2016-12-30 17","16611","9"
"2016-12-31 06","81255","9"
"2017-01-05 15","11770","9"
"2017-01-05 16","85184","9"
"2017-01-05 18","165","9"
"2017-01-11 20","32382","9"
"2017-01-18 21","62251","9"
"2017-02-18 17","165","9"
"2017-02-20 22","165","9"
"2017-02-22 18","101401","9"
"2017-02-28 11","31831","9"
"2017-04-13 21","145957","9"
"2017-04-17 21","40604","9"
"2017-04-07 15","185634","8"
"2017-04-08 22","130256","8"
"2017-04-11 18","107346","8"
"2017-04-13 08","155580","8"
"2017-04-14 09","42744","8"
"2017-04-17 23","40604","8"
"2017-05-01 23","144063","8"
"2017-05-02 13","249939","8"
"2017-05-02 16","107346","8"
"2017-05-03 06","258290","8"
"2017-05-03 10","31831","8"
"2017-05-03 10","221813","8"
"2017-05-05 14","204927","8"
"2017-05-08 18","107346","8"
"2016-04-20 11","165","8"
"2016-05-06 19","165","8"
"2016-05-18 12","165","8"
"2016-05-20 17","158","8"
"2016-06-22 18","15627","8"
"2016-06-28 17","15627","8"
"2016-07-14 19","165","8"
"2016-08-24 17","3311","8"
"2016-09-03 16","21694","8"
"2016-09-08 18","165","8"
"2016-09-17 21","21694","8"
"2016-09-22 19","1568","8"
"2016-10-11 14","165","8"
"2016-10-19 15","165","8"
"2016-11-02 21","237","8"
"2016-11-08 14","3055","8"
"2017-05-12 05","55962","8"
"2017-05-12 14","172962","8"
"2017-05-13 10","38617","8"
"2017-05-13 10","88623","8"
"2017-05-14 10","145007","8"
"2017-05-14 22","20442","8"
"2017-05-15 10","138259","8"
"2017-05-15 10","145957","8"
"2017-05-15 10","162870","8"
"2017-05-15 10","171536","8"
"2017-05-15 10","212386","8"
"2017-05-15 10","293623","8"
"2017-05-16 21","124854","8"
"2017-03-08 00","20593","8"
"2017-03-11 12","19464","8"
"2017-03-11 17","90485","8"
"2017-03-15 12","85184","8"
"2017-03-21 13","122583","8"
"2017-03-21 21","85184","8"
"2017-03-23 11","107346","8"
"2017-03-25 00","111493","8"
"2017-03-25 23","148123","8"
"2017-03-26 23","7173","8"
"2017-03-29 11","192297","8"
"2017-04-01 19","130256","8"
"2017-01-07 03","31831","8"
"2017-01-15 21","69624","8"
"2017-01-18 07","60787","8"
"2017-01-18 07","105432","8"
"2017-01-21 15","27997","8"
"2017-03-01 18","158","8"
"2017-04-20 12","170104","8"
"2017-04-22 01","101551","8"
"2017-04-22 06","226395","8"
"2017-04-22 14","167704","8"
"2017-04-23 23","103120","8"
"2017-04-25 21","103922","8"
"2017-04-28 13","20593","8"
"2016-11-24 22","165","8"
"2016-11-28 19","165","8"
"2016-11-29 22","20593","8"
"2016-12-07 15","237","8"
"2016-12-07 17","165","8"
"2016-12-09 00","35987","8"
"2016-12-10 00","35987","8"
"2016-12-12 00","31848","8"
"2016-12-12 09","43788","8"
"2016-12-12 16","31831","8"
"2016-12-15 13","56716","8"
"2016-12-25 13","20442","8"
"2016-12-25 19","165","8"
"2016-12-28 21","11880","8"
"2016-12-31 00","18474","8"
"2016-12-31 00","62251","8"
"2016-12-31 01","13401","8"
"2017-01-03 16","85184","8"
"2016-11-19 12","31831","7"
"2016-12-06 18","39163","7"
"2016-12-09 00","36037","7"
"2016-12-09 07","47755","7"
"2016-12-09 20","28499","7"
"2016-12-11 00","20442","7"
"2016-12-12 00","31831","7"
"2016-12-12 00","57580","7"
"2016-12-14 12","71753","7"
"2016-12-21 09","52470","7"
"2016-12-22 18","19464","7"
"2016-12-23 14","87802","7"
"2016-12-24 17","60584","7"
"2016-12-28 14","82158","7"
"2016-12-28 16","31848","7"
"2016-12-29 11","21694","7"
"2016-12-31 00","62951","7"
"2016-12-31 02","60141","7"
"2016-12-31 06","1472","7"
"2017-03-02 18","107346","7"
"2017-03-08 03","4340","7"
"2017-03-11 12","31831","7"
"2017-03-13 12","1472","7"
"2017-03-14 12","19464","7"
"2017-03-15 20","38617","7"
"2017-03-16 12","46833","7"
"2017-03-21 13","138658","7"
"2017-03-22 22","75456","7"
"2017-03-23 10","128416","7"
"2016-04-26 20","22","7"
"2016-04-29 10","1472","7"
"2016-05-04 09","1472","7"
"2016-05-18 15","165","7"
"2016-05-20 17","3311","7"
"2016-05-24 19","165","7"
"2016-06-01 18","158","7"
